2891;LIFR;LIF receptor subunit alpha
2894;LIG4;DNA ligase 4
2904;FADS1;fatty acid desaturase 1
2926;LPP;LIM domain containing preferred translocation partner in lipoma
2939;LTA4H;leukotriene A4 hydrolase
2940;LTA;lymphotoxin alpha
2947;LTC4S;leukotriene C4 synthase
2974;SMAD2;SMAD family member 2
2975;SMAD3;SMAD family member 3
3007;MANBA;mannosidase beta
3030;MBL2;mannose binding lectin 2
3110;MICB;MHC class I polypeptide-related sequence B
3114;MIF;macrophage migration inhibitory factor
3131;MLLT3;MLLT3 super elongation complex subunit
3138;MMP1;matrix metallopeptidase 1
3139;MMP2;matrix metallopeptidase 2
3143;MMP9;matrix metallopeptidase 9
3144;MMP10;matrix metallopeptidase 10
3193;MST1;macrophage stimulating 1
3222;MTHFR;methylenetetrahydrofolate reductase
3266;MUC5AC;mucin 5AC, oligomeric mucus/gel-forming
3268;MUC7;mucin 7, secreted
3278;MYB;MYB proto-oncogene, transcription factor
3302;MYH11;myosin heavy chain 11
3308;MYLK;myosin light chain kinase
3327;PPP1R12B;protein phosphatase 1 regulatory subunit 12B
3421;NFKB2;nuclear factor kappa B subunit 2
3432;NGF;nerve growth factor
3460;NODAL;nodal growth differentiation factor
3463;NOS1;nitric oxide synthase 1
3464;NOS2;nitric oxide synthase 2
3465;NOS3;nitric oxide synthase 3
3470;NPY;neuropeptide Y
3473;NOTCH4;notch receptor 4
3486;NPPA;natriuretic peptide A
3509;NTF3;neurotrophin 3
3510;NTF4;neurotrophin 4
3513;NTRK1;neurotrophic receptor tyrosine kinase 1
3534;OAS2;2'-5'-oligoadenylate synthetase 2
3584;OVOL1;ovo like transcriptional repressor 1
3609;PAFAH1B1;platelet activating factor acetylhydrolase 1b regulatory subunit 1
3615;SERPINE1;serpin family E member 1
3639;PBX2;PBX homeobox 2
3680;PDE4B;phosphodiesterase 4B
3682;PDE4D;phosphodiesterase 4D
3693;PDGFB;platelet derived growth factor subunit B
